Åland;18;AXppbbbbbbkkkkkkkk;14n;
Ägypten;27;EGppkkkkkkkkkkkkkkkkkkkkkkk;23n;
Albanien;28;ALppbbbssssKkkkkkkkkkkkkkkkk;8n,16c;
Algerien;24;DZppkkkkkkkkkkkkkkkkkkkk;20n;
Andorra;24;ADppbbbbsssskkkkkkkkkkkk;8n,12c;
Angola;25;AOppbbbbsssskkkkkkkkkkkKK;21n;
Aserbaidschan;28;AZppbbbbkkkkkkkkkkkkkkkkkkkk;4c,20n;
Äquatorialguinea;27;GQppbbbbbssssskkkkkkkkkkkKK;23n;
Bahrain;22;BHppbbbbkkkkkkkkkkkkkk;4a,14c;
Belgien;16;BEppbbbkkkkkkkKK;12n;
Benin;28;BJppbbbbbssssskkkkkkkkkkkkKK;2a,22n;
Bosnien und Herzegowina;20;BAppbbbssskkkkkkkkKK;16n;
Brasilien;29;BRppbbbbbbbbssssskkkkkkkkkkkk;23n,1a,1c;
Britische Jungferninseln;24;VGppbbbbkkkkkkkkkkkkkkkk;4c,16n;
Bulgarien;22;BGppbbbbssssddkkkkkkkk;4a,6n,8c;
Burkina Faso;27;BFppbbbbbssssskkkkkkkkkkkKK;23n;
Burundi;16;BIppkkkkkkkkkkkk;12n;
Costa Rica;22;CRpp0kkkkkkkkkkkkkkkkk;18n;
Elfenbeinküste;28;CIppbbbbbssssskkkkkkkkkkkkKK;2c,22n;
Dänemark;18;DKppbbbbkkkkkkkkkK;14n;
Deutschland;22;DEppbbbbbbbbkkkkkkkkkk;18n;
Dominikanische Republik;28;DOppbbbbkkkkkkkkkkkkkkkkkkkk;4a,20n;
Dschibuti;27;DJppbbbbbssssskkkkkkkkkkkKK;23n;
El Salvador;28;SVppssssbbbbkkkkkkkkkkkkkkkk;4c,20n;
Estland;20;EEppbbkkkkkkkkkkkkkK;16n;
Färöer;18;FOppbbbbkkkkkkkkkK;14n;
Finnland;18;FIppbbbbbbkkkkkkkK;14n;
Frankreich;27;FRppbbbbbssssskkkkkkkkkkkKK;10n,11c,2n;
Französisch-Guayana;27;GFppbbbbbssssskkkkkkkkkkkKK;10n,11c,2n;
Französische Süd- und Antarktisgebiete;27;TFppbbbbbssssskkkkkkkkkkkKK;10n,11c,2n;
Gabun;27;GAppbbbbbssssskkkkkkkkkkkKK;23n;
Georgien;22;GEppbbkkkkkkkkkkkkkkkk;2c,16n;
Gibraltar;23;GIppbbbbkkkkkkkkkkkkkkk;4a,15c;
Griechenland;27;GRppbbbsssskkkkkkkkkkkkkkkk;7n,16c;
Grönland;18;GLppbbbbkkkkkkkkkK;14n;
Guatemala;28;GTppbbbbkkkkkkkkkkkkkkkkkkkk;4c,20n;
Guinea-Bissau;25;GWppbbbbsssskkkkkkkkkkkKK;2c,19n;
